Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas zeae],197,197,80%,4e-59,49.52,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_414927269.1?report=genbank&log$=prottop&blast_rank=30&RID=HBE2ENA0014"",""WP_414927269.1"")"
5 member(s) 4 organism(s),b-proteobacteria,MULTISPECIES: hypothetical protein [Burkholderia],197,197,77%,4e-59,50.00,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197427728.1?report=genbank&log$=prottop&blast_rank=31&RID=HBE2ENA0014"",""WP_197427728.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella enterica],192,192,78%,3e-57,49.26,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPB3261834.1?report=genbank&log$=prottop&blast_rank=32&RID=HBE2ENA0014"",""EPB3261834.1"")"
4 member(s) 3 organism(s),fluorescent pseudomonads,hypothetical protein [Pseudomonas fluorescens],192,192,77%,5e-57,53.50,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191956647.1?report=genbank&log$=prottop&blast_rank=33&RID=HBE2ENA0014"",""WP_191956647.1"")"
6 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas rhodesiae],191,191,80%,6e-57,53.14,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052199001.1?report=genbank&log$=prottop&blast_rank=34&RID=HBE2ENA0014"",""WP_052199001.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas chlororaphis],188,188,61%,1e-56,53.46,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206429726.1?report=genbank&log$=prottop&blast_rank=35&RID=HBE2ENA0014"",""WP_206429726.1"")"
7 member(s) 2 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],184,184,33%,8e-56,100.00,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGD8125652.1?report=genbank&log$=prottop&blast_rank=36&RID=HBE2ENA0014"",""EGD8125652.1"")"
3 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],183,183,34%,2e-55,100.00,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD0415975.1?report=genbank&log$=prottop&blast_rank=37&RID=HBE2ENA0014"",""MDD0415975.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella bongori],185,185,78%,2e-54,46.53,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275655456.1?report=genbank&log$=prottop&blast_rank=38&RID=HBE2ENA0014"",""WP_275655456.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein BUE93_06615 [Chromobacterium amazonense],198,198,78%,1e-53,47.78,3519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRP71471.1?report=genbank&log$=prottop&blast_rank=39&RID=HBE2ENA0014"",""PRP71471.1"")"
1 member(s) 1 organism(s),b-proteobacteria,MARTX multifunctional-autoprocessing repeats-in-toxin holotoxin RtxA [Chromobacterium amazonense],197,197,78%,1e-53,47.78,4315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_146131721.1?report=genbank&log$=prottop&blast_rank=40&RID=HBE2ENA0014"",""WP_146131721.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Salmonella enterica],177,177,32%,2e-53,100.00,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGK7591268.1?report=genbank&log$=prottop&blast_rank=41&RID=HBE2ENA0014"",""MGK7591268.1"")"
2 member(s) 1 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Salmonella enterica subsp. enterica],180,180,77%,1e-52,49.01,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGK9832618.1?report=genbank&log$=prottop&blast_rank=42&RID=HBE2ENA0014"",""MGK9832618.1"")"
7 member(s) 6 organism(s),RNA similarity group I,hypothetical protein [Pseudomonas sp. QC2],177,177,77%,7e-51,51.50,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102062137.1?report=genbank&log$=prottop&blast_rank=43&RID=HBE2ENA0014"",""WP_102062137.1"")"
1 member(s) 1 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Salmonella sp. GDC200615],178,178,77%,1e-50,49.50,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_430761456.1?report=genbank&log$=prottop&blast_rank=44&RID=HBE2ENA0014"",""WP_430761456.1"")"
19 member(s) 6 organism(s),enterobacteria,"T3SS-independent effector cysteine protease IpaJ, partial [Escherichia coli]",176,176,77%,3e-50,49.01,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_327749699.1?report=genbank&log$=prottop&blast_rank=45&RID=HBE2ENA0014"",""WP_327749699.1"")"
4 member(s) 2 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Escherichia coli],175,175,77%,3e-50,49.01,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPC9081176.1?report=genbank&log$=prottop&blast_rank=46&RID=HBE2ENA0014"",""EPC9081176.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio aquimaris],181,181,80%,5e-50,45.63,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152430729.1?report=genbank&log$=prottop&blast_rank=47&RID=HBE2ENA0014"",""WP_152430729.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas sp.],174,174,79%,6e-50,48.78,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_300626765.1?report=genbank&log$=prottop&blast_rank=48&RID=HBE2ENA0014"",""WP_300626765.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],169,169,34%,8e-50,94.25,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD0738499.1?report=genbank&log$=prottop&blast_rank=49&RID=HBE2ENA0014"",""MDD0738499.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio tetraodonis],179,179,86%,2e-49,42.36,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_160931308.1?report=genbank&log$=prottop&blast_rank=50&RID=HBE2ENA0014"",""WP_160931308.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],164,164,30%,3e-48,100.00,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENV0659163.1?report=genbank&log$=prottop&blast_rank=51&RID=HBE2ENA0014"",""ENV0659163.1"")"
1 member(s) 1 organism(s),E. coli,type III secretion system effector cysteine protease IpaJ [Escherichia coli],163,163,31%,1e-47,98.73,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC9940153.1?report=genbank&log$=prottop&blast_rank=52&RID=HBE2ENA0014"",""MGC9940153.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],163,163,31%,1e-47,98.73,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD0738557.1?report=genbank&log$=prottop&blast_rank=53&RID=HBE2ENA0014"",""MDD0738557.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella bongori],165,165,72%,4e-47,45.70,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_309252285.1?report=genbank&log$=prottop&blast_rank=54&RID=HBE2ENA0014"",""WP_309252285.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],160,160,29%,1e-46,100.00,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOY1375642.1?report=genbank&log$=prottop&blast_rank=55&RID=HBE2ENA0014"",""EOY1375642.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas syringae],163,163,66%,1e-46,47.65,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122488895.1?report=genbank&log$=prottop&blast_rank=56&RID=HBE2ENA0014"",""WP_122488895.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],159,159,29%,3e-46,100.00,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD0481766.1?report=genbank&log$=prottop&blast_rank=57&RID=HBE2ENA0014"",""MDD0481766.1"")"
9 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],159,159,29%,3e-46,100.00,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENA6089649.1?report=genbank&log$=prottop&blast_rank=58&RID=HBE2ENA0014"",""ENA6089649.1"")"
8 member(s) 2 organism(s),enterobacteria,"T3SS-independent effector cysteine protease IpaJ, partial [Salmonella enterica]",161,161,73%,2e-45,47.89,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_254499918.1?report=genbank&log$=prottop&blast_rank=59&RID=HBE2ENA0014"",""WP_254499918.1"")"
1 member(s) 1 organism(s),b-proteobacteria,MULTISPECIES: hypothetical protein [Burkholderia],163,163,77%,3e-45,40.59,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143155822.1?report=genbank&log$=prottop&blast_rank=60&RID=HBE2ENA0014"",""WP_143155822.1"")"
10 member(s) 3 organism(s),enterobacteria,"T3SS-independent effector cysteine protease IpaJ, partial [Salmonella enterica]",160,160,73%,7e-45,46.88,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_260679751.1?report=genbank&log$=prottop&blast_rank=61&RID=HBE2ENA0014"",""WP_260679751.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],155,155,29%,1e-44,100.00,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFR1664577.1?report=genbank&log$=prottop&blast_rank=62&RID=HBE2ENA0014"",""HFR1664577.1"")"
14 member(s) 3 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],155,155,28%,1e-44,100.00,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFY2680320.1?report=genbank&log$=prottop&blast_rank=63&RID=HBE2ENA0014"",""EFY2680320.1"")"
1 member(s) 1 organism(s),b-proteobacteria,RHS repeat-associated core domain-containing protein [Trinickia sp. LjRoot230],170,170,76%,5e-44,43.94,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_436019115.1?report=genbank&log$=prottop&blast_rank=64&RID=HBE2ENA0014"",""WP_436019115.1"")"
1 member(s) 1 organism(s),enterobacteria,"T3SS-independent effector cysteine protease IpaJ, partial [Salmonella enterica]",159,159,63%,5e-44,51.20,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_269717612.1?report=genbank&log$=prottop&blast_rank=65&RID=HBE2ENA0014"",""WP_269717612.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Algicola sagamiensis],156,156,78%,4e-43,41.18,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018692599.1?report=genbank&log$=prottop&blast_rank=66&RID=HBE2ENA0014"",""WP_018692599.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Burkholderia savannae],150,150,67%,2e-41,44.83,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198170044.1?report=genbank&log$=prottop&blast_rank=67&RID=HBE2ENA0014"",""WP_198170044.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Edwardsiella ictaluri],152,152,78%,5e-41,42.16,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198089517.1?report=genbank&log$=prottop&blast_rank=68&RID=HBE2ENA0014"",""WP_198089517.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],145,145,27%,7e-41,100.00,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOK4618053.1?report=genbank&log$=prottop&blast_rank=69&RID=HBE2ENA0014"",""EOK4618053.1"")"
5 member(s) 3 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Salmonella enterica],142,142,61%,2e-38,48.45,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFL3511689.1?report=genbank&log$=prottop&blast_rank=70&RID=HBE2ENA0014"",""MFL3511689.1"")"
2 member(s) 1 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],136,136,24%,2e-37,100.00,63,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJX0800533.1?report=genbank&log$=prottop&blast_rank=71&RID=HBE2ENA0014"",""EJX0800533.1"")"
3 member(s) 1 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],130,130,23%,5e-35,100.00,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFF6472597.1?report=genbank&log$=prottop&blast_rank=72&RID=HBE2ENA0014"",""HFF6472597.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Shigella flexneri],127,127,23%,6e-34,100.00,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCS2934029.1?report=genbank&log$=prottop&blast_rank=73&RID=HBE2ENA0014"",""HCS2934029.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein EDC56_3015 [Sinobacterium caligoides],129,129,77%,7e-33,41.29,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ROS00364.1?report=genbank&log$=prottop&blast_rank=74&RID=HBE2ENA0014"",""ROS00364.1"")"
3 member(s) 2 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Salmonella enterica],124,124,51%,1e-31,48.89,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCZ7054341.1?report=genbank&log$=prottop&blast_rank=75&RID=HBE2ENA0014"",""MCZ7054341.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Bordetella sp. H567],123,123,77%,9e-31,38.50,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066641314.1?report=genbank&log$=prottop&blast_rank=76&RID=HBE2ENA0014"",""WP_066641314.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Algicella marina],122,122,78%,3e-30,37.86,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161861894.1?report=genbank&log$=prottop&blast_rank=77&RID=HBE2ENA0014"",""WP_161861894.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein [Labilithrix sp.],118,118,78%,1e-28,37.38,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVJ89304.1?report=genbank&log$=prottop&blast_rank=78&RID=HBE2ENA0014"",""HVJ89304.1"")"
11 member(s) 6 organism(s),RNA similarity group I,hypothetical protein [Pseudomonas putida],113,113,77%,7e-27,35.47,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151926168.1?report=genbank&log$=prottop&blast_rank=79&RID=HBE2ENA0014"",""WP_151926168.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Paraburkholderia hospita],113,113,78%,8e-27,34.15,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007589953.1?report=genbank&log$=prottop&blast_rank=80&RID=HBE2ENA0014"",""WP_007589953.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas sp. NPDC089752],112,112,78%,1e-26,37.68,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_400794260.1?report=genbank&log$=prottop&blast_rank=81&RID=HBE2ENA0014"",""WP_400794260.1"")"
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: hypothetical protein [Pseudomonas],112,112,77%,1e-26,34.83,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191943902.1?report=genbank&log$=prottop&blast_rank=82&RID=HBE2ENA0014"",""WP_191943902.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein [Cystobacter fuscus],112,112,77%,2e-26,37.85,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFY0578994.1?report=genbank&log$=prottop&blast_rank=83&RID=HBE2ENA0014"",""MFY0578994.1"")"
2 member(s) 2 organism(s),enterobacteria,IpaJ protein [Salmonella enterica subsp. enterica serovar Newport],108,108,48%,1e-25,44.44,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAA5547327.1?report=genbank&log$=prottop&blast_rank=84&RID=HBE2ENA0014"",""EAA5547327.1"")"
8 member(s) 7 organism(s),RNA similarity group I,hypothetical protein [Pseudomonas fluorescens],110,110,78%,1e-25,35.29,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078743081.1?report=genbank&log$=prottop&blast_rank=85&RID=HBE2ENA0014"",""WP_078743081.1"")"
1 member(s) 1 organism(s),enterobacteria,IpaJ protein [Serratia liquefaciens],107,107,48%,2e-25,42.86,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEJ7043059.1?report=genbank&log$=prottop&blast_rank=86&RID=HBE2ENA0014"",""HEJ7043059.1"")"
1 member(s) 1 organism(s),g-proteobacteria,Cysteine protease IpaJ [Vibrio mangrovi],109,109,77%,4e-25,36.32,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMS00843.1?report=genbank&log$=prottop&blast_rank=87&RID=HBE2ENA0014"",""SMS00843.1"")"
4 member(s) 3 organism(s),RNA similarity group I,MULTISPECIES: hypothetical protein [Pseudomonas],108,108,79%,6e-25,34.47,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119741720.1?report=genbank&log$=prottop&blast_rank=88&RID=HBE2ENA0014"",""WP_119741720.1"")"
2 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Bordetella genomosp. 9],105,105,77%,6e-24,38.31,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157664784.1?report=genbank&log$=prottop&blast_rank=89&RID=HBE2ENA0014"",""WP_157664784.1"")"
